Product_ID,Product_Name,Best_Model,Prophet_MAE,SARIMA_MAE,Best_MAE,Confidence_Score,Error_Ratio
6533889,GASOLINE-REG UNLEADED,Prophet,130.10500150986678,136.5935511804746,130.10500150986678,보통 (Mid),0.27301867411588004
6534178,GASOLINE-REG UNLEADED,Prophet,588.7094513484853,634.5566819917274,588.7094513484853,높음 (High),0.11566347544764069
6533765,GASOLINE-REG UNLEADED,SARIMA,101.8046795280444,84.9935646211148,84.9935646211148,보통 (Mid),0.2429984407499637
1082185,BANANAS,Prophet,38.952559221143915,44.118232915870934,38.952559221143915,높음 (High),0.12830751997741646
995242,FLUID MILK WHITE ONLY,SARIMA,199.10361511750563,180.78935773390126,180.78935773390126,낮음 (Low),0.583026912513085
5569230,SOFT DRINKS 12/18&15PK CAN CAR,SARIMA,174.9197707587826,125.25143607031842,125.25143607031842,낮음 (Low),0.47467549459603176
1029743,FLUID MILK WHITE ONLY,SARIMA,137.5770457141045,127.98785774577605,127.98785774577605,보통 (Mid),0.2510488811980406
6534166,GASOLINE-REG UNLEADED,SARIMA,185.99376653710482,113.50016829521225,113.50016829521225,낮음 (Low),0.3493226483702268
916122,CHICKEN BREAST BONELESS,Prophet,185.29578442244105,231.43086728677858,185.29578442244105,낮음 (Low),0.6756085698956886
1106523,FLUID MILK WHITE ONLY,SARIMA,58.99995992967942,36.5526842849612,36.5526842849612,높음 (High),0.1166773630137934
