Product_ID,Date,Forecast_Week,SARIMA_Forecast,Prophet_Forecast,Prophet_Lower,Prophet_Upper
6534178,2021-12-22,1,5331.408067854703,4837.833106281522,3885.0660106513296,5808.9767066265085
6534178,2021-12-29,2,5093.829016316695,4813.145851882197,3821.9710475678494,5838.380930326632
6534178,2022-01-05,3,5198.1000707697485,4623.276507023746,3556.883130105773,5687.756531499433
6534178,2022-01-12,4,5152.3365544733115,4403.902334944752,3332.67396141824,5411.101522722036
6534178,2022-01-19,5,5172.421701159511,4300.784821548434,3217.5253261634302,5281.191017839213
6534178,2022-01-26,6,5163.606532438799,4354.250649084565,3360.482504073276,5379.640810423991
6534178,2022-02-02,7,5167.475421264391,4494.00588199582,3528.115723082499,5509.69153521649
6534178,2022-02-09,8,5165.777404899755,4626.307467004102,3622.5930854219855,5657.503901095082
6534178,2022-02-16,9,5166.5226471914175,4717.843086482596,3657.6972374956335,5746.527929006435
6534178,2022-02-23,10,5166.1955678505765,4800.949412578307,3730.484191216307,5816.9161311811185
6534178,2022-03-02,11,5166.339119681172,4909.202081774476,3829.2091168648076,5860.002141258552
6534178,2022-03-09,12,5166.276116227593,5018.767263232404,3979.787366587705,6073.393149459041
6533889,2021-12-22,1,503.6814858396828,622.1469649612421,471.10424026757863,770.5987543796119
6533889,2021-12-29,2,503.6814858396828,625.9159101006862,490.15906557768983,763.946202325651
6533889,2022-01-05,3,503.6814858396828,572.811213408817,421.14516467149616,729.5922831476871
6533889,2022-01-12,4,503.6814858396828,517.6360406817112,373.2459614858923,665.8990227983327
6533889,2022-01-19,5,503.6814858396828,502.5833074954866,352.37337962493956,650.5571137779386
6533889,2022-01-26,6,503.6814858396828,518.308447705606,371.37366185444705,665.2734594941307
6533889,2022-02-02,7,503.6814858396828,529.0469273577069,376.4686038396967,661.3140311171583
6533889,2022-02-09,8,503.6814858396828,522.1141595867955,384.04901715814646,670.3155750653175
6533889,2022-02-16,9,503.6814858396828,519.686543993058,372.3302690291876,662.5211215923139
6533889,2022-02-23,10,503.6814858396828,544.1226138517507,410.212032597123,697.5760111493923
6533889,2022-03-02,11,503.6814858396828,586.0099455535445,439.7676598113009,735.6100198767639
6533889,2022-03-09,12,503.6814858396828,616.1185432146508,459.84802337820156,761.2951682298499
1029743,2021-12-22,1,401.0154407393659,416.7228995763983,240.29433087810511,578.5104894882138
1029743,2021-12-29,2,493.017631227832,412.6356516429835,237.0550024215629,577.6570341386412
1029743,2022-01-05,3,458.0708343665357,400.6033511297841,210.7634046873199,568.0995685346537
1029743,2022-01-12,4,488.7743180068718,352.8909421192763,173.2105533410072,529.4412556611317
1029743,2022-01-19,5,460.40654250300247,309.0249065656145,130.89828067658192,472.3515121472805
1029743,2022-01-26,6,475.11058975946844,325.0831548719725,159.47894748027252,502.5846559740874
1029743,2022-02-02,7,464.17420507356184,394.8497875019514,229.89518567436406,563.1764547151748
1029743,2022-02-09,8,473.35029339031706,446.3448073793077,267.0066763184527,628.9457841133308
1029743,2022-02-16,9,467.78118832665626,424.2157740137737,257.50490515216654,604.9640095752866
1029743,2022-02-23,10,471.7101369344089,358.61395259447374,167.46518556376708,523.4733819338012
1029743,2022-03-02,11,468.6357914587289,332.7628240306746,159.51246396530428,511.84403817339245
1029743,2022-03-09,12,470.6579197153457,383.89613533737906,210.64698990724722,561.3934881765474
6534166,2021-12-22,1,314.99549610764916,499.0068125204486,342.36329717111056,645.2928490949065
6534166,2021-12-29,2,320.05722642606685,528.654774495196,380.49475895411723,660.4372224853349
6534166,2022-01-05,3,323.9918127532154,482.79656914900215,332.472644752951,616.3222978277228
6534166,2022-01-12,4,327.05024704187264,394.88267719808294,244.48458236233216,541.0721803924619
6534166,2022-01-19,5,329.4276304616979,328.0038573135688,170.76153176597407,482.0086019458493
6534166,2022-01-26,6,331.2756191354521,317.95588166108956,177.7828537618159,459.05942682548937
6534166,2022-02-02,7,332.712098463879,351.8347698515645,209.72923445333345,497.140742957616
6534166,2022-02-09,8,333.8287031759662,392.8466509545184,232.32434484632864,538.7896405851507
6534166,2022-02-16,9,334.696662817558,415.07286113745243,271.7036005159682,561.3185967768886
6534166,2022-02-23,10,335.37134556900713,414.56416872065665,273.5644381826694,558.5312272637309
6534166,2022-03-02,11,335.89579024741204,399.4976199172006,260.71205661799405,548.8862630652011
6534166,2022-03-09,12,336.30345180407176,381.4746498159422,242.67806884680002,524.8869112714747
1082185,2021-12-22,1,306.2796188391797,330.2962561053053,283.49767909665167,377.1850343910672
1082185,2021-12-29,2,308.9047618321436,337.05010793666975,290.9818657832003,383.9210017243096
1082185,2022-01-05,3,311.5299048251075,320.26055383381237,273.4493679823005,367.51874295228316
1082185,2022-01-12,4,314.1550478180714,288.3613362286361,242.40637281070033,332.8129875980848
1082185,2022-01-19,5,316.7801908110353,265.4583022692064,216.86221176958512,314.1514665108853
1082185,2022-01-26,6,319.4053338039992,269.14373200779903,224.21198046088418,312.95922867841205
1082185,2022-02-02,7,322.0304767969631,292.384367274396,247.70644233622946,337.9582432335655
1082185,2022-02-09,8,324.655619789927,310.2127833264767,262.61308537886714,354.8193060956709
1082185,2022-02-16,9,327.2807627828909,306.0441835730713,258.4622947117155,351.12466945632144
1082185,2022-02-23,10,329.9059057758548,289.62395794499,241.1869812847897,337.27423307898465
1082185,2022-03-02,11,332.5310487688187,286.2763625068735,240.9760008489415,332.75542193165086
1082185,2022-03-09,12,335.1561917617826,308.63717702327665,262.8732833761435,357.6266350368249
916122,2021-12-22,1,346.69389717748476,402.16580847967225,195.63598958190224,604.3053136874064
916122,2021-12-29,2,288.2776714761256,393.77854518690884,198.31761029853993,580.4418508159421
916122,2022-01-05,3,286.843998942427,334.1951369715045,134.20750022848523,540.7276763617919
916122,2022-01-12,4,285.4174563987944,261.4157909391636,45.86636639121287,478.6419463966584
916122,2022-01-19,5,283.9980083861135,226.826487751731,20.10764094431727,423.9714858788478
916122,2022-01-26,6,282.58561962161633,244.82350228774487,40.60471960444095,446.0316281880513
916122,2022-02-02,7,281.1802549980046,280.67881700421606,66.01968629314564,487.3927587444418
916122,2022-02-09,8,279.7818795825767,293.23056724330104,78.47743003521641,497.1492342436327
916122,2022-02-16,9,278.3904586163597,284.7277972893616,83.83102797467525,492.6841756508539
916122,2022-02-23,10,277.005957513245,297.0287897695601,101.20231009174577,499.7310779183206
916122,2022-03-02,11,275.62834185912897,354.2553130412179,150.6331935040888,557.8279307976384
916122,2022-03-09,12,274.2575774110574,419.83653855569725,219.2988557635293,621.782814094056
6533765,2021-12-22,1,379.58490667425207,401.9182581544924,293.3365348145129,511.85719382441755
6533765,2021-12-29,2,383.2740756890503,440.9864373192407,348.4284106358944,543.0233202384485
6533765,2022-01-05,3,386.9632447038485,454.1790970682915,351.9867806193788,551.7951747220396
6533765,2022-01-12,4,390.6524137186467,445.0661884355081,333.0680755845278,542.9148153286518
6533765,2022-01-19,5,394.3415827334449,441.58899266802837,345.8543630335042,551.3369852955175
6533765,2022-01-26,6,398.0307517482431,463.104585796533,369.13610425245434,566.6497216268597
6533765,2022-02-02,7,401.71992076304133,499.2809968825132,387.01437998722025,608.4809224139328
6533765,2022-02-09,8,405.40908977783954,522.4386233828596,412.92782204030283,623.9354019147853
6533765,2022-02-16,9,409.09825879263775,517.0424757789948,415.5319222505993,626.8509716666724
6533765,2022-02-23,10,412.78742780743596,493.6821548801622,388.3420565071263,591.6437526012759
6533765,2022-03-02,11,416.47659682223417,475.9008681273816,375.0665035889239,575.7744473462469
6533765,2022-03-09,12,420.1657658370324,478.51879292525723,381.898617444539,578.4176580652895
1106523,2021-12-22,1,258.1978294277654,310.1138382068001,216.81796511540628,405.5276990469746
1106523,2021-12-29,2,335.3007356878521,313.7801609827886,215.42715226676526,421.9091315466811
1106523,2022-01-05,3,282.06283616480897,294.13600906538096,190.22456000480585,397.70715247852115
1106523,2022-01-12,4,301.37479021957,255.0501584361981,143.4142164313432,353.8895585654953
1106523,2022-01-19,5,314.82560380343875,228.76401384163745,125.75322288448378,326.6259938797406
1106523,2022-01-26,6,278.5424253940461,239.8932780418941,136.6766047536637,342.1373106065738
1106523,2022-02-02,7,323.354657490897,275.9476432255036,172.07762529547418,386.930184297115
1106523,2022-02-09,8,283.9324755533585,299.57807329580544,197.4186846684096,400.0102594985501
1106523,2022-02-16,9,308.1753678000577,289.68515231234585,184.92171139905508,399.5488825827286
1106523,2022-02-23,10,302.8719533640266,264.49589697058576,163.69079713317183,362.16221579192944
1106523,2022-03-02,11,291.38809265441233,259.7752505878047,162.2882665540456,360.7019166622826
1106523,2022-03-09,12,313.31119493679444,286.83551540554254,190.84279927991378,387.9727202937533
995242,2021-12-22,1,383.7375280895332,395.4366404058113,180.39933006714634,623.6063239605819
995242,2021-12-29,2,234.12902968408878,389.56994962895266,163.82807252833283,610.7412422786235
995242,2022-01-05,3,343.89826302575227,378.07972987897796,167.12020693538864,597.4188597558253
995242,2022-01-12,4,271.26007537806277,371.8228603425039,170.17759015291404,608.3590735965385
995242,2022-01-19,5,320.88503330310635,353.3340538699067,139.1918427282266,553.9045789415638
995242,2022-01-26,6,286.1679583248599,308.7586557964881,81.79138499263158,506.98467604766427
995242,2022-02-02,7,308.6378256317861,261.31885864254053,48.35691753150026,483.6989166231761
995242,2022-02-09,8,291.9328168331413,256.2337380302176,41.905641809267195,473.8485296294211
995242,2022-02-16,9,301.90282892204635,308.0951041205327,98.9243413618572,528.4682803362759
995242,2022-02-23,10,293.6476631876401,374.64118040845943,152.98537214109382,577.4120498638556
995242,2022-03-02,11,297.82342096373145,396.2610181654003,175.0167887323224,608.1505682506223
995242,2022-03-09,12,293.5159830371183,362.3495958970563,146.92007920652534,569.9977346437176
5569230,2021-12-22,1,231.87803921568636,345.3865854675816,123.42786697722293,575.7104333061272
5569230,2021-12-29,2,231.87803921568636,297.4249764687016,47.86900711307766,531.8385485128609
5569230,2022-01-05,3,231.87803921568636,228.55040381391038,-5.533856820583402,463.6927344901563
5569230,2022-01-12,4,231.87803921568636,205.8145601958304,-44.783360342790004,443.6199410746906
5569230,2022-01-19,5,231.87803921568636,247.91168841826777,5.420470016237038,507.15898610205124
5569230,2022-01-26,6,231.87803921568636,296.0576493856183,68.377148479847,531.3870596584962
5569230,2022-02-02,7,231.87803921568636,287.85730020523573,59.74017680611116,529.5256594920761
5569230,2022-02-09,8,231.87803921568636,241.16412214809674,-14.929996068155475,490.9368792737496
5569230,2022-02-16,9,231.87803921568636,234.0996982466588,4.828418981633676,476.23066502234934
5569230,2022-02-23,10,231.87803921568636,299.1451120894326,66.60426062615005,539.4136731458251
5569230,2022-03-02,11,231.87803921568636,367.31492884138754,117.11381411930451,610.0399399006728
5569230,2022-03-09,12,231.87803921568636,344.85820784666794,91.55385385633512,576.8032540921747
844179,2021-12-22,1,249.61841457249136,231.54918625329296,63.58517926879035,396.53004504338367
844179,2021-12-29,2,248.97611151094856,240.62775843017624,62.706790752146134,413.2263056703248
844179,2022-01-05,3,248.3354611849364,266.20401545151964,94.77762275316066,445.5154112348233
844179,2022-01-12,4,247.69645934173542,275.47569171280537,98.89705359108652,454.8819436790612
844179,2022-01-19,5,247.059101739569,245.59614352520805,59.32993145775422,433.86788028533954
844179,2022-01-26,6,246.42338414757518,185.96801704376233,-0.4919131090480907,358.53042021562004
844179,2022-02-02,7,245.78930234577862,137.63445632814677,-42.39880606480753,308.43056650542684
844179,2022-02-09,8,245.15685212506256,140.43053338870885,-45.527213842627205,305.46179670738877
844179,2022-02-16,9,244.5260292871409,193.50961091249894,10.709921616806641,376.0792762796489
844179,2022-02-23,10,243.8968296445303,251.68609429789362,66.75695361014466,429.10913433988327
844179,2022-03-02,11,243.2692490205224,267.96272595860114,92.0665884421233,450.24853593780557
844179,2022-03-09,12,242.64328324915613,240.17762782395081,63.043427187126966,420.5334267973644
1044078,2021-12-22,1,185.25911764705884,347.93485897205227,167.79272301745937,529.9949055277425
1044078,2021-12-29,2,185.25911764705884,372.68911351953307,188.92875183029312,541.4317817503874
1044078,2022-01-05,3,185.25911764705884,347.39462521225374,155.11381493758876,530.5909865486057
1044078,2022-01-12,4,185.25911764705884,272.6204201131166,99.77585418370808,458.9791322074429
1044078,2022-01-19,5,185.25911764705884,192.65985071022962,15.409155998645435,366.7276359580627
1044078,2022-01-26,6,185.25911764705884,167.35246223415768,-22.30148974098733,349.9475931334682
1044078,2022-02-02,7,185.25911764705884,212.20213496882164,52.608476295368,394.31765108588
1044078,2022-02-09,8,185.25911764705884,273.6446957254952,90.95338363035088,445.99007152475053
1044078,2022-02-16,9,185.25911764705884,278.95396096983774,93.2313970313077,478.2209829407906
1044078,2022-02-23,10,185.25911764705884,214.3272737127005,49.29104065070318,393.15344433995347
1044078,2022-03-02,11,185.25911764705884,144.03313176563825,-34.24181614888718,320.94642660932345
1044078,2022-03-09,12,185.25911764705884,145.23415245644432,-35.46468852289402,337.23052114876344
1127831,2021-12-22,1,-0.7042528359312797,229.28034978864807,95.68475930718628,356.97753903263435
1127831,2021-12-29,2,6.134628902627126,301.29858434968617,177.12043455301801,433.78651251138547
1127831,2022-01-05,3,-0.36651544849136997,310.10715018938436,168.70137803293616,436.85011743027616
1127831,2022-01-12,4,5.813570637189226,260.5274058101208,120.51524092337831,387.1555329713184
1127831,2022-01-19,5,-0.06131260853533327,211.7494516473178,79.41892279785753,346.2621294061355
1127831,2022-01-26,6,5.523440204352737,216.57786218933822,77.30223572860285,345.11725385697173
1127831,2022-02-02,7,0.2144897662722327,269.90126347780983,141.88338583142394,392.3103713302908
1127831,2022-02-09,8,5.261258298077628,321.11098482305573,179.33991806944445,447.35528911970994
1127831,2022-02-16,9,0.46372384928551735,332.34793325031166,199.18526458309594,464.5110946596246
1127831,2022-02-23,10,5.024332611564796,315.14950225544226,187.28687397265315,446.524421439698
1127831,2022-03-02,11,0.6889489880422595,307.9782624073247,175.9807209741944,453.1465960675993
1127831,2022-03-09,12,4.810230190360051,327.53224609220325,191.06702772014424,466.2184780046576
1133018,2021-12-22,1,184.37049184552046,219.462088175389,87.60542521345215,337.0467074583353
1133018,2021-12-29,2,115.86667972068258,207.81611253965752,81.40770466810729,336.7649540254252
1133018,2022-01-05,3,163.53193760097577,202.10966034695446,75.39206697523207,325.78452291184976
1133018,2022-01-12,4,132.3503466053771,207.6704356679533,79.109586345264,329.0624799296536
1133018,2022-01-19,5,153.8077308797499,203.26124545340608,79.50307596946638,318.0689080704919
1133018,2022-01-26,6,139.64324910973744,173.61018247569032,47.7253294421159,299.8535387142946
1133018,2022-02-02,7,149.31803628050307,138.29859820158174,6.8092245735244035,265.36846864229483
1133018,2022-02-09,8,142.8924269383873,136.10424626110614,19.802449529603866,260.7468049981849
1133018,2022-02-16,9,147.25933670460668,179.07486115157096,58.24524613856412,306.5581657089002
1133018,2022-02-23,10,144.34705499613307,231.82283733567004,104.71656134702242,358.53752630111154
1133018,2022-03-02,11,146.31958688634074,245.80373383617226,116.0847187087455,380.88504080413145
1133018,2022-03-09,12,145.00045706511582,213.26140789028767,86.78932786575393,331.4091225493096
