,mae
6534178,2447.706008361297
6533889,186.5872264217633
1029743,145.2346208718763
6534166,191.5844095900475
1082185,107.90923852544991
916122,163.21712703887704
6533765,155.494780045624
1106523,74.85439428061478
995242,253.2711330693445
5569230,215.30355980050064
844179,150.24693065155722
1044078,142.70455090342278
1127831,140.97554136846483
1133018,128.426589606722
874972,61.921123088670164
1126899,36.128709086266625
1005186,32.543595424059475
5569471,145.85081582513905
1070820,41.251894450646326
951590,28.0337173611879
866211,30.713741868096445
981760,81.02623682213068
8090521,59.18970642576126
986912,41.63007442216115
8090537,56.68517233520174
854852,35.81435241087241
878996,35.45366748769969
1000753,89.96825394992304
1004906,53.66305417199086
899624,56.8518279381509
1070702,84.78269928957698
908531,83.47927591811305
1075368,27.4637212806194
883404,25.880883542471352
862349,80.20225140630228
961554,33.507925774600466
1058997,64.12543218751935
1081177,25.925627719778014
854405,47.63592834836663
923746,47.57639434695279
859075,32.711890000879286
933835,35.4505896274011
863447,102.05176810650144
12810393,96.41764446573042
6544236,57.198646857423306
839419,50.75270805794256
985999,43.06764232025657
12810391,148.50183233538638
1068719,29.68691245848354
948670,70.48103760722339
